,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu,Category,Elongation
94,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
95,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,,  6013 (REST),11.0
96,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
97,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,,  6013 (REST),11.0
98,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
99,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
100,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
101,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
102,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
103,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,,  6013 (REST),11.0
104,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
105,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),26.0
106,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),26.0
107,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),26.0
108,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),26.0
109,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),26.0
110,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,,,0.25,  CO2 WIRE,15.0
111,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  CO2 WIRE,
112,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  CO2 WIRE,
113,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  CO2 WIRE,
114,,,,,,,,HRC,,,,,,,,,,,,,  FLUX CORE WIRE,
115,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
116,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.275,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
117,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.275,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
118,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
119,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
120,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
121,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
122,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.275,0.15,0.25,0.015,0.015,0.6,,580.0,0.175,  FLUX CORE WIRE,28.5
123,59.5,,,535.0,,,,HRC,,0.08499999999999999,1.25,0.625,0.525,,0.015,0.015,0.4,,620.0,,  FLUX CORE WIRE,59.5
124,27.0,,,535.0,,,,HRC,0.025,0.075,0.075,1.125,0.175,1.5,0.015,0.015,0.4,,620.0,,  FLUX CORE WIRE,27.0
125,24.5,,,510.0,,,,HRC,,0.08499999999999999,1.25,0.875,0.525,,0.015,0.015,0.5,,620.0,,  FLUX CORE WIRE,24.5
126,24.5,,,735.0,,,,HRC,,0.06,0.575,0.9,,0.6000000000000001,0.015,0.015,0.575,,620.0,0.525,  FLUX CORE WIRE,24.5
127,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
128,,,,,,,,HRC,0.015,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
129,,,,,,,,HRC,0.015,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
130,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
131,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
132,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
133,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
134,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
135,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25,  FW,
136,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  FW,
137,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  FW,
138,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  FW,
139,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25,  FW,
140,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25,  FW,8.5
141,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25,  FW,8.5
142,12.0,,,235.0,,,,HRC,0.025,0.06,0.075,0.625,0.175,0.075,0.0125,0.0125,0.6000000000000001,,275.0,0.175,  FW,12.0
143,12.0,,,235.0,,,,HRC,0.025,0.06,0.075,0.625,0.175,0.075,0.0125,0.0125,0.6000000000000001,,275.0,0.175,  FW,12.0
144,8.5,,,270.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,310.0,0.25,  FW,8.5
145,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175,  FW,9.5
146,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175,  FW,9.5
147,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175,  FW,9.5
148,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175,  FW,9.5
