,Elongation,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,Martensite,Martensite_Temperature,Microstructure,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,Gas tungsten arc automatic_Current,Gas tungsten arc automatic_Electrode,Gas tungsten arc automatic_Heat input,Gas tungsten arc automatic_Interpass temperature,Gas tungsten arc automatic_Source,Gas tungsten arc automatic_Voltage,Gas metal arc automatic_Current,Gas metal arc automatic_Electrode,Gas metal arc automatic_Heat input,Gas metal arc automatic_Interpass temperature,Gas metal arc automatic_Source,Gas metal arc automatic_Voltage,Tandem submerged Arc_Current,Tandem submerged Arc_Electrode,Tandem submerged Arc_Heat input,Tandem submerged Arc_Interpass temperature,Tandem submerged Arc_Source,Tandem submerged Arc_Voltage,extr,C,Fe,Mn,P,S,Si,Ni,Cu,Cr,Mo,V,W,Co
392,,,,,,,,,26.0,Room temperature,0.0,Room temperature,27.0,Room temperature,47.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.073,98.9277,0.64,0.004,0.005,0.35,,,,,0.0003,,
393,36.4,Room temperature,80.5,Room temperature,447.0,Room temperature,329.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.073,98.9277,0.64,0.004,0.005,0.35,,,,,0.0003,,
394,28.0,Room temperature,76.0,Room temperature,532.0,Room temperature,450.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.073,98.9347,0.64,0.005,0.006999999999999999,0.34,,,,,0.0003,,
395,,,,,,,,,13.0,Room temperature,0.0,Room temperature,60.0,Room temperature,27.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.073,98.9347,0.64,0.005,0.006999999999999999,0.34,,,,,0.0003,,
396,24.6,Room temperature,78.7,Room temperature,497.0,Room temperature,415.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.073,98.9347,0.64,0.005,0.006999999999999999,0.34,,,,,0.0003,,
397,26.8,Room temperature,80.7,Room temperature,553.0,Room temperature,474.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,98.9627,0.62,0.005,0.006999999999999999,0.33,,,,,0.0003,,
398,,,,,,,,,13.0,Room temperature,0.0,Room temperature,61.0,Room temperature,26.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,98.9627,0.62,0.005,0.006999999999999999,0.33,,,,,0.0003,,
399,24.4,Room temperature,78.0,Room temperature,539.0,Room temperature,451.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,98.9627,0.62,0.005,0.006999999999999999,0.33,,,,,0.0003,,
400,25.0,Room temperature,76.0,Room temperature,580.0,Room temperature,522.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07,98.9483,0.64,0.004,0.006999999999999999,0.33,,,,,0.0007,,
401,,,,,,,,,14.0,Room temperature,0.0,Room temperature,67.0,Room temperature,19.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07,98.9483,0.64,0.004,0.006999999999999999,0.33,,,,,0.0007,,
402,23.0,Room temperature,74.9,Room temperature,576.0,Room temperature,484.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07,98.9483,0.64,0.004,0.006999999999999999,0.33,,,,,0.0007,,
403,24.0,Room temperature,70.8,Room temperature,614.0,Room temperature,549.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.9417,0.64,0.006,0.008,0.33,,,,,0.0003,,
404,,,,,,,,,15.0,Room temperature,0.0,Room temperature,61.0,Room temperature,24.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.9417,0.64,0.006,0.008,0.33,,,,,0.0003,,
405,22.6,Room temperature,71.9,Room temperature,621.0,Room temperature,544.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.9417,0.64,0.006,0.008,0.33,,,,,0.0003,,
406,31.1,Room temperature,77.0,Room temperature,522.0,Room temperature,443.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.5406,1.02,0.005,0.006999999999999999,0.35,,,,,0.0004,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.5406,1.02,0.005,0.006999999999999999,0.35,,,,,0.0004,,
408,33.3,Room temperature,80.3,Room temperature,461.0,Room temperature,332.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.5406,1.02,0.005,0.006999999999999999,0.35,,,,,0.0004,,
409,25.4,Room temperature,75.0,Room temperature,557.0,Room temperature,480.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,98.53960000000001,1.02,0.005,0.006999999999999999,0.35,,,,,0.0004,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,98.53960000000001,1.02,0.005,0.006999999999999999,0.35,,,,,0.0004,,
411,30.4,Room temperature,77.0,Room temperature,540.0,Room temperature,447.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,98.53960000000001,1.02,0.005,0.006999999999999999,0.35,,,,,0.0004,,
412,28.0,Room temperature,76.0,Room temperature,594.0,Room temperature,513.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.5725,1.0,0.006,0.006999999999999999,0.34,,,,,0.0005,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.5725,1.0,0.006,0.006999999999999999,0.34,,,,,0.0005,,
414,25.2,Room temperature,76.0,Room temperature,575.0,Room temperature,492.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.5725,1.0,0.006,0.006999999999999999,0.34,,,,,0.0005,,
415,22.8,Room temperature,74.0,Room temperature,618.0,Room temperature,553.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.5916,0.99,0.006,0.008,0.33,,,,,0.0004,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.5916,0.99,0.006,0.008,0.33,,,,,0.0004,,
417,22.4,Room temperature,75.0,Room temperature,616.0,Room temperature,540.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.5916,0.99,0.006,0.008,0.33,,,,,0.0004,,
418,20.2,Room temperature,72.9,Room temperature,655.0,Room temperature,615.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,98.5515,1.02,0.006,0.006999999999999999,0.34,,,,,0.0005,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,98.5515,1.02,0.006,0.006999999999999999,0.34,,,,,0.0005,,
420,19.8,Room temperature,70.8,Room temperature,676.0,Room temperature,603.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,98.5515,1.02,0.006,0.006999999999999999,0.34,,,,,0.0005,,
421,27.1,Room temperature,75.9,Room temperature,541.0,Room temperature,463.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.2706,1.33,0.005,0.006999999999999999,0.31,,,,,0.0004,,
422,,,,,,,,,70.0,Room temperature,0.0,Room temperature,7.0,Room temperature,23.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.2706,1.33,0.005,0.006999999999999999,0.31,,,,,0.0004,,
423,31.4,Room temperature,76.4,Room temperature,497.0,Room temperature,372.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.2706,1.33,0.005,0.006999999999999999,0.31,,,,,0.0004,,
424,25.8,Room temperature,77.9,Room temperature,586.0,Room temperature,505.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.2076,1.37,0.006,0.006999999999999999,0.33,,,,,0.0004,,
425,,,,,,,,,61.0,Room temperature,0.0,Room temperature,15.0,Room temperature,24.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.2076,1.37,0.006,0.006999999999999999,0.33,,,,,0.0004,,
426,24.8,Room temperature,76.0,Room temperature,578.0,Room temperature,500.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.2076,1.37,0.006,0.006999999999999999,0.33,,,,,0.0004,,
427,26.4,Room temperature,76.0,Room temperature,597.0,Room temperature,540.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.2496,1.36,0.006,0.008,0.3,,,,,0.0004,,
428,,,,,,,,,60.0,Room temperature,0.0,Room temperature,14.0,Room temperature,26.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.2496,1.36,0.006,0.008,0.3,,,,,0.0004,,
429,25.0,Room temperature,76.0,Room temperature,607.0,Room temperature,539.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.2496,1.36,0.006,0.008,0.3,,,,,0.0004,,
430,24.2,Room temperature,76.0,Room temperature,641.0,Room temperature,586.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.1786,1.39,0.006999999999999999,0.006999999999999999,0.34,,,,,0.0004,,
431,,,,,,,,,63.0,Room temperature,0.0,Room temperature,18.0,Room temperature,19.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.1786,1.39,0.006999999999999999,0.006999999999999999,0.34,,,,,0.0004,,
432,22.6,Room temperature,71.9,Room temperature,651.0,Room temperature,583.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,98.1786,1.39,0.006999999999999999,0.006999999999999999,0.34,,,,,0.0004,,
433,20.6,Room temperature,71.9,Room temperature,685.0,Room temperature,610.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.2505,1.36,0.006999999999999999,0.006,0.3,,,,,0.0005,,
434,,,,,,,,,50.0,Room temperature,0.0,Room temperature,31.0,Room temperature,19.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.2505,1.36,0.006999999999999999,0.006,0.3,,,,,0.0005,,
435,19.0,Room temperature,70.8,Room temperature,686.0,Room temperature,614.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.2505,1.36,0.006999999999999999,0.006,0.3,,,,,0.0005,,
436,28.8,Room temperature,77.0,Room temperature,571.0,Room temperature,500.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,97.8796,1.74,0.006,0.008,0.29,,,,,0.0004,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,97.8796,1.74,0.006,0.008,0.29,,,,,0.0004,,
438,29.2,Room temperature,78.4,Room temperature,518.0,Room temperature,414.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,97.8796,1.74,0.006,0.008,0.29,,,,,0.0004,,
439,22.0,Room temperature,75.9,Room temperature,614.0,Room temperature,540.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,97.8196,1.77,0.006,0.006999999999999999,0.32,,,,,0.0004,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,97.8196,1.77,0.006,0.006999999999999999,0.32,,,,,0.0004,,
441,24.4,Room temperature,74.0,Room temperature,605.0,Room temperature,524.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,97.8196,1.77,0.006,0.006999999999999999,0.32,,,,,0.0004,,
442,22.6,Room temperature,74.0,Room temperature,635.0,Room temperature,575.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,97.8476,1.76,0.006999999999999999,0.006999999999999999,0.3,,,,,0.0004,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,97.8476,1.76,0.006999999999999999,0.006999999999999999,0.3,,,,,0.0004,,
444,22.0,Room temperature,76.8,Room temperature,627.0,Room temperature,553.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,97.8476,1.76,0.006999999999999999,0.006999999999999999,0.3,,,,,0.0004,,
445,22.0,Room temperature,74.0,Room temperature,660.0,Room temperature,606.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,97.8456,1.77,0.009000000000000001,0.008,0.29,,,,,0.0004,,
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,97.8456,1.77,0.009000000000000001,0.008,0.29,,,,,0.0004,,
447,21.6,Room temperature,71.9,Room temperature,661.0,Room temperature,577.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.077,97.8456,1.77,0.009000000000000001,0.008,0.29,,,,,0.0004,,
448,19.2,Room temperature,70.8,Room temperature,708.0,Room temperature,654.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,97.8276,1.79,0.006999999999999999,0.006,0.29,,,,,0.0004,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,97.8276,1.79,0.006999999999999999,0.006,0.29,,,,,0.0004,,
450,17.2,Room temperature,68.6,Room temperature,716.0,Room temperature,638.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,97.8276,1.79,0.006999999999999999,0.006,0.29,,,,,0.0004,,
451,31.4,Room temperature,81.5,Room temperature,512.0,Room temperature,427.0,Room temperature,,,,,,,,,,,,,,,,180,N,2.0,200.0,AC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.062,98.535,1.17,0.006,0.006999999999999999,0.22,,,,,,,
452,33.0,Room temperature,81.5,Room temperature,523.0,Room temperature,440.0,Room temperature,,,,,,,,,,,,,,,,180,N,2.0,200.0,AC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06,98.465,1.2,0.006999999999999999,0.008,0.26,,,,,,,
453,30.4,Room temperature,82.4,Room temperature,508.0,Room temperature,443.0,Room temperature,,,,,,,,,,,,,,,,180,N,2.0,200.0,AC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06,98.485,1.19,0.006999999999999999,0.008,0.25,,,,,,,
454,29.6,Room temperature,81.5,Room temperature,531.0,Room temperature,468.0,Room temperature,,,,,,,,,,,,,,,,180,N,2.0,200.0,AC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.062,98.372,1.24,0.008,0.008,0.31,,,,,,,
455,35.6,Room temperature,81.5,Room temperature,510.0,Room temperature,435.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.055,98.211,1.39,0.006999999999999999,0.006999999999999999,0.33,,,,,,,
456,31.2,Room temperature,82.3,Room temperature,505.0,Room temperature,430.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,98.208,1.39,0.006999999999999999,0.006,0.34,,,,,,,
457,31.0,Room temperature,82.3,Room temperature,504.0,Room temperature,433.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.048,98.286,1.34,0.008,0.008,0.31,,,,,,,
458,30.4,Room temperature,80.6,Room temperature,526.0,Room temperature,465.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.048,98.278,1.3,0.006999999999999999,0.006999999999999999,0.36,,,,,,,
459,31.6,Room temperature,80.6,Room temperature,524.0,Room temperature,442.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.059000000000000004,98.136,1.49,0.017,0.008,0.29,,,,,,,
460,30.0,Room temperature,77.8,Room temperature,559.0,Room temperature,497.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.051,97.978,1.64,0.016,0.005,0.31,,,,,,,
461,31.4,Room temperature,78.8,Room temperature,555.0,Room temperature,487.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.069,98.209,1.17,0.013999999999999999,0.008,0.53,,,,,,,
462,28.4,Room temperature,79.6,Room temperature,569.0,Room temperature,494.0,Room temperature,,,,,,,,,,,,,,,,180,+,1.0,200.0,DC,34,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.068,97.996,1.56,0.01,0.006,0.36,,,,,,,
463,34.4,Room temperature,83.0,Room temperature,448.0,Room temperature,373.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,98.954,0.69,0.006999999999999999,0.006,0.3,,,,,,,
470,34.4,Room temperature,80.6,Room temperature,476.0,Room temperature,392.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042,98.655,0.98,0.006999999999999999,0.006,0.31,,,,,,,
477,31.0,Room temperature,80.6,Room temperature,502.0,Room temperature,414.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,98.243,1.39,0.006999999999999999,0.005,0.31,,,,,,,
484,29.8,Room temperature,79.9,Room temperature,525.0,Room temperature,444.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.822,1.83,0.008,0.005,0.29,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.822,1.83,0.008,0.005,0.29,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.822,1.83,0.008,0.005,0.29,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.822,1.83,0.008,0.005,0.29,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.822,1.83,0.008,0.005,0.29,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.822,1.83,0.008,0.005,0.29,,,,,,,
