,Category,Charpy,DIN_W,Elongation,HT_Temp,Hardness_Scale,IE-20,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Redry_Time,Reduction of area,Rp0,Tensile,Ultimate tensile strength,Yield,Yield strength,Ag,Al,B,Be,C,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Rm,S,Si,Sn,Ti,V,W,Zn,Zr
1090,0.0,0.0,0.0,23.6,0.0,0.0,0.0,1.0,200.0,0.0,77.0,0.0,0.0,570.0,0.0,514.0,,,,,0.074,,,,98.146,,1.3599999999999999,,,,,0.005,,0.005,0.41000000000000003,,,,,,
1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.146,,1.3599999999999999,,,,,0.005,,0.005,0.41000000000000003,,,,,,
1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.146,,1.3599999999999999,,,,,0.005,,0.005,0.41000000000000003,,,,,,
1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.146,,1.3599999999999999,,,,,0.005,,0.005,0.41000000000000003,,,,,,
1094,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,200.0,0.0,76.0,0.0,0.0,580.0,0.0,522.0,,,,,0.066,,,,98.051,,1.4100000000000001,,,,,0.009000000000000001,,0.004,0.46,,,,,,
1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.066,,,,98.051,,1.4100000000000001,,,,,0.009000000000000001,,0.004,0.46,,,,,,
1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.066,,,,98.051,,1.4100000000000001,,,,,0.009000000000000001,,0.004,0.46,,,,,,
1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.066,,,,98.051,,1.4100000000000001,,,,,0.009000000000000001,,0.004,0.46,,,,,,
1098,0.0,0.0,0.0,23.8,0.0,0.0,0.0,1.0,200.0,0.0,71.9,0.0,0.0,591.0,0.0,522.0,,,,,0.066,,,,98.152,,1.33,,,,,0.008,,0.004,0.44,,,,,,
1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.066,,,,98.152,,1.33,,,,,0.008,,0.004,0.44,,,,,,
11,0.0,122.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5,0.0,547.5,0.0,,,,,0.075,,0.4,,,,0.75,,,,1.05,,,0.025,0.6000000000000001,,,,,,
110,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,580.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.066,,,,98.152,,1.33,,,,,0.008,,0.004,0.44,,,,,,
1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.066,,,,98.152,,1.33,,,,,0.008,,0.004,0.44,,,,,,
