,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
554,,0.40,,0.70,0.15,14.5,2.50,0.50,,,,,,,,,,,,12.5,,,,,,,
555,0.50,2.5-3.5,,0.50,0.1,18-22,,67,,,,,3.0,2.0-3.0,0.75,,,,,,,,,,,,
556,,62.14,,0.08,,0.18,,25.30,,,,,0.13,,0.04,,,,9.58,,,2.23,,,,,
557,,0.5,,0.60,0.04,20.0-22.5,8.0-10.0,Rem,,,,,0.7,,0.4,,3.15-4.15,,,,,,,,,,
558,,0.02,,0.02,0.02,22.2,8-10,Rem,,,,,0.7,,0.162,,3.65,,,,,,,,,,
559,,0.8,,0.06,0.075,2.3,1.0,,,,0.15,,,0.035,,,,0.002,,,,,,,,,
560,,175,,1.510,,0.757,0.169,0.036,,,,,,,0.011,,,,,,,,,,,,
561,,0.75-0.80,,0.25-0.30,0.18-0.25,11.4-11.5,0.85-0.90.5,0.45-0.6,,,0.3,,,,,0.5,,,,,,,,,,,
562,,1.00,,0.80,0.08,25.00,,4.00,0.020,0.008,,,,,,,,,,,,,,,,,
563,,1.4,,0.3,0.07,4.0,0.5,,,,,,,0.1,,,,,,,,,,,,,
564,,0.5-0.7,,0.4-0.6,0.05-0.07,12-14,0.9-1.3,3.7-4.3,,,,,,,,,,,,,,,,,,,
565,,1.0,,0.30,0.08,13.5,0.50,4.3,,,,0.1,,,,,,,,,,,,,,,
566,,1.1,,1.1,0.07,15.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
567,,1.0-2.0,,0.7,0.1,11.0-13.5,1.0-1.5,3.0-4.0,,,0.15,,,2X(C),,,,,,,,,,,,,
568,,1.5,,0.3,0.05,,,, 0.025, 0.020,,,,,,,,,,,,,,,,,
569,,0.70,,0.4,0.07,25.00,,4.00,0.025,0.025,,,,,,,,,,,,,,,,,
570,,1.20,,0.20,0.13,,,1.00,0.012,0.005,,,,,,,,,,,,,,,,,
571,,1.2,,0.3,0.06,,0.5,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
572,,1.6,,0.4,0.08,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
573,,1.6,,0.4,0.08,1.0,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
574,,1.1,,0.3,0.09,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
575,,16.0,,0.4,0.5,15,0.5,1.2,,,0.2,,Rem,,,,,,,,,,,,,,
576,1.60,0.70,,0.60,0.020,25.5,3.8,8.9,0.015,0.010,,0.25,,,,,,,,,,,,,,,
577,,1.8,,0.3,0.015,22,2.9,14,,,,,,,,,,,,,,,,,,,
578,,2.8,,,0.33,7.0,1.7,0.25,,,0.25,,,,,1.8,,,,,,,,,,,
579,,1.45,,0.85,0.08,,,,0.025,0.025,,,,,,,,,,,,,,,,,
580,,1.75,,0.9,0.08,,,,0.025,0.025,,,,,,,,,,,,,,,,,
581,,1.5-1.6,,0.3,0.1,,,, 0.025, 0.025,,,,,,,,,,,,,,,,,
582,0.45,1.40,,0.85,0.09,,,0.85,,,,,,,,,,,,,,,,,,,
583,0.45,1.40,,0.85,0.09,,,0.85,,,,,,,,,,,,,,,,,,,
584, 0.25,1.00,,0.60,0.09,1.15,0.50,,,,,,,,,,,,,,,,,,,,
585,0.50,1.00,,0.60,0.09,1.15,,,,,,,,,,,,,,,,,,,,,
586, 0.25,1.00,,0.60,0.09,1.15,0.50,,,,,,,,,,,,,,,,,,,,
587, 0.30,1.00,,0.65,0.07,2.55,1.00,,,,,,,,,,,,,,,,,,,,
588, 0.30,1.00,,0.65,0.07,2.55,1.00,,,,,,,,,,,,,,,,,,,,
589,,0.50,,0.45,0.08,5.7,0.6,,,,,,,,,,,,,,,,,,,,
590,rem,12-14,,,,,,2-2.5,,,,,2-3,,,,,,7.5-8.3,,,,,,,,
591,,1.20,,0.60,0.09, 0.15,0.5, 0.15,,,,,,,,,,,,,,,,,,,
592,,1.1,,0.60,0.1, 0.15,0.5, 0.15,,,,,,,,,,,,,,,,,,,
593,,1.20,,0.60,0.09, 0.15,0.5, 0.15,,,,,,,,,,,,,,,,,,,
594,,1.05,,0.50,0.08,,,0.9,0.007,0.017,,,,,,,,,,,,,,,,,
595,,1.05,,0.50,0.08,,,0.9,0.007,0.017,,,,,,,,,,,,,,,,,
596,,1.1,,0.6,0.1,,,2.4,0.015,0.015,,,,,,,,,,,,,,,,,
597,,1.1,,0.6,0.1,,,2.4,0.015,0.015,,,,,,,,,,,,,,,,,
598,0.12,1.1,,0.6,0.1,,,3.5,0.01,0.01,,,,,,,,,,,,,,,,,
599,,1.20,,0.75,0.10,,0.3,0.9,,,,,,,,,,,,,,,,,,,
600,,1.20,,0.55,0.04,,,,,,,,,,0.10,,,,0.10,,,0.07,,,,,
601,,1.20,,0.60,0.07,,,,,,,,,,,,,,,,,,,,,,
602,,1.20,,0.57,0.08,,,,,,,,,,,,,,,,,,,,,,
603,,1.45,,0.85,0.08,,,,0.025,0.025,,,,,,,,,,,,,,,,,
604,,1.45,,0.85,0.08,,,,0.025,0.025,,,,,,,,,,,,,,,,,
605,,1.75,,0.9,0.08,,,,0.025,0.025,,,,,,,,,,,,,,,,,
606,,1.75,,0.20,0.12,,0.55,0.9,,,,,,,,,,,,,,,,,,,
607,,1.75,,0.9,0.08,,,,0.025,0.025,,,,,,,,,,,,,,,,,
608,,,,,,,,80,,,,,,,,,,,20,,,,,,,,
609,,0.65,,0.20,0.82,,,,,,,,,,,,,,,,,,,,,,
610,,0.30,,0.25,1.00,1.50,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,0.5-1.0,,0.30-0.60,0.33-0.43,15.5-17.5,0.9-1.3,0.1-1.0,, 0.030,,,,,,,,,,,,,,,,,
613,,6.5,,0.6-1.0,0.12,18.5,,8.5,0.025,0.025,,,,,,,,,,,,,,,,,
614,,1.10,,0.45,0.30,1.00,,,,,,,,,0.20,,,,0.10,,,,,,,,
615,0.75,1.0-2.5,,0.30-0.65, 0.15,28.0-32.0,0.75,8.0-10.5,0.03,0.03,,,,,,,,,,,,,,,,,
616,,1.7,,&lt0.4,0.03,18,2.5,12,,,,,,,,,,,,,,,,,,,
617,, 0.6,,  0.50,0.25-0.40,12.0-14.0,, 0.6, 0.030, 0.030,,,,,,,,,,,,,,,,,
618,, 1.0,,0.75-1.75, 0.15,19-21,,,, 0.01,,, 1.0,,,,,,,,,,,,,,rem
619,,,,,,,,,,,,,2.0,,,Rem,,,,11.0 - 13.0,,,,,,,
620,,,,,,,,95,,,,,,,,,,,5,,,,,,,,
621,0.05-0.20,0.05,,,,,,,,,,,,,,,,,99.0,,0.10,,,0.0003,,,
622,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,
624,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Rem,0.10-0.30,,0.10,,,,0.20,,,,,0.010,,,,,,7.50-8.00,,,,,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Rem,,,,,,,,,,,,,,,,,,,,36,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,,,4,,17,,Bal.,,,,,4,,,17,,3,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,,Rem,,,12,,,,,,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,0.7,,1.10,5.0,29,0.15,,,,,,,,,,,,,,,,,,,,
636,,1.6,,1.6,,29,,,,,,,rem,,,,,3.9,,,,,,,,,
637,,0.8,,0.8,5.0,38,,,,,,,,,,,,2.0,,,,,,,,,
638,,3.0,,3.0,3.0,30,10,,,,,,Bal.,10,,,,,,,,,,,,,
639,,1.50,,0.60,0.30,5.50,0.90,,,,,,,,,,,,,,,,,,,,
640,,1.50,,0.60,0.50,6.00,0.90,,,,,,,,,,,,,,,,,,,,
641,,1.10,,0.40,0.30,0.30,,1.50,,,,,,,,,,1.40,,,,,,,,,
642,,0.8,,0.6,1.8,8.1,,,,,,,,,,,,4.2,,,,,,,,,
643,,0.7,,0.5,2.0,,0.15,,,,,,,,,,,,5.0,,,,,,,,
644,,0.6,,1.85,0.10,29,,,,,,,Rem,,,,,3.8,,,,,,,,,
645,,0.1,,4.2,0.8,14.2,,Rem,,,,,,,,,,3,,,,,,,,,
646,,0.7,,0.4,1.0,4.50,8.0,,,,1.50,,,,,2,,,,,,,,,,,
647,,0.3,,0.8,0.03,,4,17,,,,,Rest,,,,,,,10,,,,,,,
648,,0.5,,0.5,0.2,17,1,0.8,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,
650,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,
651,0.10,0.40,,0.35,0.02,25.0,4.0,9.5,,,,0.25,,,,,,,,,,,,,,,
652,0.10,0.40,,0.35,0.02,25.0,4.0,9.5,,,,0.25,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,0.10-1.5,,0.05-1.0,0.02-0.10,23.5-27.5,4.0-6.0,7.0-11.0, 0.030, 0.020,,0.03-0.12,1.0-5.0,,,1.0-3.0,, 0.015,,Bal.,,,,,,,
655,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,rem,,,,,,,,,,,,,,,,,,,,,,,,,6-8,
659,,,,,0.03,,,,,,,0.015,,,,,,,,,,,,,,,
