,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
81,1.2-1.8,1.2-1.8,,0.5,0.03,19-21,4-5,24-26,,,,,Rem,,,,,,,,,,,,,,
82,,0.8,,0.8,0.03,18-20,,10,,,,,,10 x %C,,,,,,,,,,,,,
83,,0.8,,0.8,0.03,18-20,2.5-3.0,11-13,,,,,,10x%C,,,,,,,,,,,,,
84,,0.7,,1.0,0.06,25,,4.7,,,,,,,,,,,,,,,,,,,
85,,0.8,,0.7,003,22-24,2.5-3.5,11-13,,,,,,,,,,,,,,,,,,,
86,,,,,0.25,24-26,,23-25,,,,,rem,0.9-1.2,,,,,,,,,,,,,
87,,2.5-3.0,,0.6,0.1,23-26,,19-21,,,,,Rem,,,,,,,,,,,,,,
88,,2.9,,0.5,0.10,25,,20,,,,,,,,,,,,,,,,,,,
89,,4.5,,0.3,0.12-0.18,21-23,,32-35,,,,,Rem,0.9-1.2,,,,,,,,,,,,,
90,,0.9-1.1,,0.9,0.3-0.5,25-27,,34-36,,,,,,1.2-1.5,,,,,,,,,,,,,
91,,0.800.9-1.1,,1.00,0.10,22.00,0.10,11.00,,,,0.10,Rem,,,,,,,,,,,,,,
92,,0.6,,0.2,0.12,,,,,,,,,,,,,,,,,,,,,,
93,,0.6,,0.4,0.08,,,,,,,,,,,,,,,,,,,,,,
94,,0.5,,0.2,0.10,,,,,,,,,,,,,,,,,,,,,,
95,,0.50,,0.30,0.08,,,,,,,,,,,,,,,,,,,,,,
96,,0.6,,0.45,0.08,,,,,,,,,,,,,,,,,,,,,,
97,,0.42,,0.27,0.03,,,,0.015,0.012,,,,,,,,,,,,,,,,,
98,,0.4,,0.15,0.10,,0.50,,,,,,,,,,,,,,,,,,,,
99,,1.0,,0.65,0.05,,,,,,,,,,,,,,,,,,,,,,
100,,0.8,,0.5,0.10,,0.50,,,,,,,,,,,,,,,,,,,,
101,,1.00,,0.60,0.08,,,,0.015,0.015,,,,,,,,,,,,,,,,,
102,,0.55,,0.25,0.08,,,,,,,,,,,,,,,,,,,,,,
103,,0.75,,0.30,0.08,,,,,,,,,,,,,,,,,,,,,,
104,,1.0,,0.30,0.07,,,,0.025,0.025,,,,,,,,,,,,,,,,,
105,,0.95,,0.60,0.06,1.10,0.50,,,,,,,,,,,,,,,,,,,,
106,,1.0,,0.5,0.05,,,2.3,,,,,,,,,,,,,,,,,,,
107,,0.90,,0.30,0.10,,,3.5,0.025,0.025,,,,,,,,,,,,,,,,,
108,,1.3,,0.5,0.07,,,0.9,,,,,,,,,,,,,,,,,,,
109,,0.8,,0.35,0.1,9.0,1.0,0.7,,,0.2,0.04,,0.05,,,,,,,,,,,,,
110,,0.60,,0.35,0.06,9.0,0.90,0.90,,,0.2,,,,,0.2,,,,,,,,,,,
111,,0.90,,0.60,0.06,2.4,1.0,,,,,,,,,,,,,,,,,,,,
112,,0.90,,0.30,0.09,9.0,0.90,0.40,,,0.20,,,0.06,,,,,,,,,,,,,
113,,0.9,,0.3,0.1,9.0,0.9,0.4,,,0.2,,,0.05,,1.0,,,,,,,,,,,
114,,1.60,,0.40,0.06,,0.30,1.0,0.025,0.025,,,,,,,,,,,,,,,,,
115,1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.014,0.015,,0.04,,,,,,,,,,,,,,,
116,1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.014,0.015,,0.04,,,,,,,,,,,,,,,
117,,1.26,,0.45,0.03,24.6,,7.9,0.020,0.003,,0.13,,,,,,,,,,,,,,,
118,,1.40,,0.80,0.03,23,3.3,9.5,0.02,0.008,,0.14,,,,,,,,,,,,,,,
119,,1.4,,0.6,0.03,23.0,3.2,9.8,0.020,0.008,,0.15,,,,,,,,,,,,,,,
120,,1.4,,0.8,0.03,23,3.3,9.5,0.02,0.008,,0.14,,,,,,,,,,,,,,,
121,,0.82,,0.54,0.03,22.49,3.43,9.35,0.015,0.003,,0.15,,,,,,,,,,,,,,,
122,0.031,1.18,,0.5,0.026,25.7,3.79,9.6,,,,0.24,,0.016,,0.1,,,,,,,,,,,
123,,6.7,,0.7,0.10,18.50,,8.8,,,,,,,,,,,,,,,,,,,
124,,6.3,,0.7,0.10,18.8,,9.0,,,,,,,,,,,,,,,,,,,
125,,1.4,,0.70,0.03,20,,10.50,0.020,0.008,,0.014,,,,,,,,,,,,,,,
