,"C(Min,Max)%","Cr(Min,Max)%",Elong %,Hydrogen Ml/100gm,"Mn(Min,Max)%","Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%","S (Min,Max)%","Si (Min,Max)%","UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",UTS,Hardness,Ferrite (Fn),Hardness_Scale
241,0.015,24.0,15.0,,1.75,0.375,,13.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
242,0.015,24.0,15.0,,1.75,2.5,,13.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
243,0.015,24.0,15.0,,1.75,2.5,,13.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
244,0.015,24.0,15.0,,1.75,2.5,,13.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
245,0.015,24.0,15.0,,1.75,2.5,,13.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
246,0.11499999999999999,26.5,15.0,,1.75,0.375,,21.25,0.015,0.015,0.475,275.0,,,,0.375,550 ,,,HRC
247,0.11499999999999999,26.5,15.0,,1.75,0.375,,21.25,0.015,0.015,0.475,275.0,,,,0.375,550 ,,,HRC
248,0.11499999999999999,26.5,15.0,,1.75,0.375,,21.25,0.015,0.015,0.475,275.0,,,,0.375,550 ,,,HRC
249,0.11499999999999999,26.5,15.0,,1.75,0.375,,21.25,0.015,0.015,0.475,275.0,,,,0.375,550 ,,,HRC
250,0.11499999999999999,26.5,15.0,,1.75,0.375,,21.25,0.015,0.015,0.475,275.0,,,,0.375,550 ,,,HRC
251,0.04,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
252,0.04,19.0,15.0,,1.75,2.5,,12.5,0.015,0.015,0.475,,,,,0.375,520  ,,,HRC
253,0.04,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
254,0.06,19.0,15.0,,1.75,2.5,,12.5,0.015,0.015,0.475,,,,,0.375,  520,,,HRC
255,0.06,19.0,15.0,,1.75,2.5,,12.5,0.015,0.015,0.475,,,,,0.375,  520,,,HRC
256,0.06,19.0,15.0,,1.75,2.5,,12.5,0.015,0.015,0.475,,,,,0.375,  520,,,HRC
257,0.06,19.0,15.0,,1.75,2.5,,12.5,0.015,0.015,0.475,,,,,0.375,  520,,,HRC
258,0.015,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
259,0.015,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
260,0.015,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
261,0.015,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
262,0.015,19.0,15.0,,13.0,2.5,,12.5,0.015,0.015,0.475,,,,,0.375, 490,,,HRC
263,0.015,19.5,15.0,,1.75,3.5,,14.0,0.015,0.015,0.475,260.0,,,,0.375, 520 ,,,HRC
264,0.015,19.5,15.0,,1.75,3.5,,14.0,0.015,0.015,0.475,260.0,,,,0.375, 520 ,,,HRC
265,0.015,19.5,15.0,,1.75,3.5,,14.0,0.015,0.015,0.475,260.0,,,,0.375, 520 ,,,HRC
266,0.04,19.0,12.5,,1.75,2.5,,12.5,0.015,0.015,0.475,,,,,0.375,550 ,,,HRC
267,0.035,20.0,15.0,,1.25,2.5,,34.0,0.015,0.015,0.3,,,,,3.5,     550 ,,,HRC
268,0.0125,20.0,,,1.75,2.5,,34.0,0.0075,0.01,0.075,,,,0.2,3.5,,,,HRC
269,0.04,20.25,15.0,,1.75,0.375,,10.0,0.015,0.015,0.475,760.0,,,0.5,0.375, 520 ,,,HRC
270,0.04,20.25,15.0,,1.75,0.375,,10.0,0.015,0.015,0.475,760.0,,,0.5,0.375, 520 ,,,HRC
271,0.04,20.25,15.0,,1.75,0.375,,10.0,0.015,0.015,0.475,760.0,,,0.5,0.375, 520 ,,,HRC
272,0.04,20.25,15.0,,1.75,0.375,,10.0,0.015,0.015,0.475,760.0,,,0.5,0.375, 520 ,,,HRC
273,0.06,20.25,,,1.75,0.375,,10.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
274,0.06,20.25,,,1.75,0.375,,10.0,0.015,0.015,0.475,,,,,0.375,520 ,,,HRC
275,0.0125,27.5,15.0,,1.75,3.7,,31.5,0.01,0.015,0.25,,,,,1.1,590,,,HRC
276,0.0125,20.5,15.0,,1.75,4.7,,25.0,0.01,0.015,0.25,,,,,1.6,520,,,HRC
277,0.0125,20.5,15.0,,1.75,4.7,,25.0,0.01,0.015,0.25,,,,,1.6,520,,,HRC
278,0.0125,20.5,15.0,,1.75,4.7,,25.0,0.01,0.015,0.25,,,,,1.6,520,,,HRC
279,0.03,11.75,7.5,,0.3,0.55,,4.5,0.015,0.015,0.25,,,,,0.375,760 ,,,HRC
280,0.03,11.75,7.5,,0.3,0.55,,4.5,0.015,0.015,0.25,,,,,0.375,760 ,,,HRC
281,0.03,11.75,7.5,,0.3,0.55,,4.5,0.015,0.015,0.25,,,,,0.375,760 ,,,HRC
282,0.03,11.75,7.5,,0.3,0.55,,4.5,0.015,0.015,0.25,,,,,0.375,760 ,,,HRC
283,0.05,16.25,10.0,,0.3,0.375,,0.3,0.15,0.015,0.25,,,,,0.375,450 ,,,HRC
284,,,10.0,,0.5,,,30.5,0.01,,0.125,,,,,,345 ,,,HRC
285,0.05,20.0,15.0,,3.0,,,33.5,0.015,0.0075,0.25,275.0,,,2.5,0.25,550,,,HRC
286,0.05,20.0,15.0,,3.0,,,33.5,0.015,0.0075,0.25,275.0,,,2.5,0.25,550,,,HRC
287,0.05,20.0,15.0,,3.0,,,33.5,0.015,0.0075,0.25,275.0,,,2.5,0.25,550,,,HRC
288,0.05,20.0,15.0,,3.0,,,33.5,0.015,0.0075,0.25,275.0,,,2.5,0.25,550,,,HRC
289,0.05,20.0,15.0,,3.0,,,33.5,0.015,0.0075,0.25,275.0,,,2.5,0.25,550,,,HRC
290,0.2,1.5,,,0.5,,,,,,0.4,,,,,,,275.0,,BHN
291,0.2,1.5,,,0.5,,,,,,0.4,,,,,,,275.0,,BHN
292,0.2,1.5,,,0.5,,,,,,0.4,,,,,,,275.0,,BHN
293,0.25,2.8,,,0.5,0.35,,,,,0.4,,,,,,,375.0,,BHN
294,0.25,2.8,,,0.5,0.35,,,,,0.4,,,,,,,375.0,,BHN
295,0.25,2.8,,,0.5,0.35,,,,,0.4,,,,,,,375.0,,BHN
296,0.25,2.8,,,0.5,0.35,,,,,0.4,,,,,,,375.0,,BHN
297,0.25,2.8,,,0.5,0.35,,,,,0.4,,,,,,,375.0,,BHN
298,0.25,2.8,,,0.5,0.35,,,,,0.4,,,,,,,375.0,,BHN
299,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
300,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
301,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
302,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
303,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
304,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
305,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
306,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
307,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
308,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
309,0.75,7.0,,,1.0,0.7,,,,,0.5,,0.6,,,,,55.0,,RC
310,0.5,7.25,,,0.75,,,,0.02,0.02,1.0,,,,,,,54.5,,HRC
311,4.0,25.0,,,0.45,,,,,,0.45,,,,,,,55.0,,RC
312,4.0,29.5,,,1.0,,,4.0,,,0.75,,,,,,,51.0,,RC
313,4.0,25.0,,,1.0,,,,,,0.5,,,,,,,55.0,,RC
314,4.0,25.0,,,1.0,,,,,,0.5,,,,,,,55.0,,RC
315,,,,,,,,,,,,,,,,,,57.5,,RC
316,,,,,,,,,,,,,,,,,,57.5,,RC
317,,,,,,,,,,,,,,,,,,57.5,,RC
318,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
319,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
320,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
321,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
322,0.075,17.5,,,4.75,,,,,,0.375,,,,,,,237.5,,BHN
