,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
161,,0.6,,0.4,0.06,0.6,0.1,,,,6.0,,92.24,,,,,,,,,,,,,,
162,,1.5,,0.6,0.12,5.5,0.5,,,,,,,,,,,,,,,,,,,,
163,,1.45,,0.55,0.05,,,,0.011,0.01,,,,,,,,,,,,,,,,,
164,,1.4,,0.575,0.1,,,,0.015,0.015,,,,,,,,,,,,,,,,,
165,,0.46,,0.3,0.02,11.9,0.6,4.3,,,,,82.42,,,,,,,,,,,,,,
166,,1.5,,0.7,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
167,,1.45,,0.63,0.05,,,,0.011,0.01,,,,,,,,,,,,,,,,,
168,,1.3,,0.7,0.05,,,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
169,,1.4,,0.6,0.05,,,2.2,0.01,0.01,,,,,,,,,,,,,,,,,
170,,1.5,,0.6,0.5,6.0,0.9,,,,,,,,,,,,,,,,,,,,
171,,1.7,,0.6,0.06,,0.4,0.95,0.015,0.015,,,,,,,,,,,,,,,,,
172,,1.6,,0.4,0.05,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
173,,1.5,,0.5,0.07,0.55,0.6,2.7,0.015,0.015,,,,,,,,,,,,,,,,,
174,,1.4,,0.3,0.05,1.1,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
175,,1.0,,0.3,0.07,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
176,,1.3,,0.7,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
177,,16.0,,0.4,0.4,14.0,0.6,1.2,,,0.2,,67.2,,,,,,,,,,,,,,
178,,3.2,,0.3,0.045,21.0,,70.0,,,,,2.1,,0.3,,2.7,,,,,,,,,,
179,,6.0,,0.3,0.01,17.0,,68.99,,,,,6.0,1.7,,,,,,,,,,,,,
180,,0.41,,0.36,0.03,21.6,9.1,60.8,,,,,4.1,,,,3.4,,,,,,,,,,
181,,0.4,,0.3,0.025,21.0,9.0,65.475,,,,,0.4,3.4,,,,,,,,,,,,,
182,,,,4.2,0.75,13.5,,73.55,,,,,5.0,,,,,3.0,,,,,,,,,
183,,,,4.5,0.35,22.0,,64.55,,,,,5.0,,,2.0,,1.6,,,,,,,,,
184,,2.45,,0.45,0.1,,,36.0,,,,,61.0,,,,,,,,,,,,,,
185,0.45,1.3,,0.5,0.05,,,1.1,0.015,0.015,,,,,,,,,,,,,,,,,
186,,1.22,,0.48,0.05,,,,0.013,0.009,,,,,,,,,,,,,,,,,
187,,1.3,,0.5,0.08,,,,0.015,0.015,,,,,,,,,,,,,,,,,
188,,1.3,,0.5,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
189,,1.3,,0.5,0.05,,,0.8,0.015,0.015,,,,,,,,,,,,,,,,,
190,,1.15,,0.3,0.06,,,1.41,0.009,0.007,,,,,,,,,,,,,,,,,
191,,1.6,,0.6,0.08,,,0.95,0.015,0.015,,,,,,,,,,,,,,,,,
192,,1.4,,0.5,0.08,,0.38,1.7,0.015,0.015,,,,,,,,,,,,,,,,,
193,,1.7,,0.5,0.08,,,2.0,0.015,0.015,,,,,,,,,,,,,,,,,
194,,1.0,,0.3,0.05,1.1,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
195,,1.3,,0.5,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
196,,1.25,,0.5,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
197,0.6,1.4,,0.6,0.025,25.9,3.8,9.0,0.015,0.008,,0.24,,,,0.6,,,,,,,,,,,
198,0.125,0.05,,0.95,,,,,,,0.1,,0.95,,,,,,99.475,,,,,,,,
199,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
200,,,,,,,,,,,,,,,0.15,,,,0.85,,,,,,,,
201,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
202,6.2,0.3,,0.15,,,,,,,0.1,,,,0.17,,,,92.74,,0.2,0.14,,,,,
203,,0.5,,0.4,0.1,22.0,2.0,57.0,,,,,3.0,0.5,0.1,14.0,,,0.3,5.0,,0.015,,,,,
204,0.75,2.0,,0.5,0.015,33.0,1.25,31.5,0.02,0.01,,0.475,30.480000000000004,,,,,,,,,,,,,,
205,0.5,1.0,,1.0,0.0425,24.5,2.0,45.35419999999999,,,,,3.0,1.5,1.5,,,0.0033,1.1,18.5,,,,,,,
206,0.5,1.0,,1.0,0.0425,24.5,2.0,45.35419999999999,,,,,3.0,1.5,1.5,,,0.0033,1.1,18.5,,,,,,,
207,2.15,1.0,,0.4,0.05,21.5,3.0,42.0,,,,,22.0,,0.8999999999999999,,,,0.2,,,,,,,,
208,2.15,1.0,,0.4,0.05,21.5,3.0,42.0,,,,,22.0,,0.8999999999999999,,,,0.2,,,,,,,,
209,0.2,3.0,,0.1,0.01,2.15,29.5,55.9,0.03,0.01,0.2,,2.0,,0.2,3.0,0.2,,0.5,3.0,,,,,,,
210,1.6,,,0.08,0.01,23.0,16.0,59.309999999999995,,,,,,,,,,,,,,,,,,,
211,,0.4,,0.1,0.01,16.0,16.0,56.79,,,0.2,,6.0,,,3.5,,,,1.0,,,,,,,
212,,0.4,,0.1,0.01,16.0,16.0,56.79,,,0.2,,6.0,,,3.5,,,,1.0,,,,,,,
213,,1.0,,1.0,0.1,22.0,9.0,46.791999999999994,,,,,18.0,,,0.6,,0.008,,1.5,,,,,,,
214,0.1,0.5,,0.4,,0.3,,,,,,,0.4,,0.15,,,,94.85,,0.2,,3.1,,,,
215,0.1,0.5,,0.4,,0.3,,,,,,,0.4,,0.15,,,,94.85,,0.2,,3.1,,,,
216,,0.9,,,,0.15,,,,,,,,,0.15,,,,93.8,,,0.15000000000000002,4.85,,,,
217,0.1,0.75,,0.2,,0.15,,,,,,,0.4,,0.15,,,,93.2495,,0.25,,4.75,0.0005,,,
218,0.1,0.75,,0.4,,0.15,,,,,,,0.4,,0.15,,,,93.0492,,0.25,,4.75,0.0008,,,
219,0.1,1.025,,0.2,,0.125,,,,,,,0.4,,0.09,,,,92.9592,,0.1,,5.0,0.0008,,,
220,0.1,0.8,,0.25,,0.125,,,,,,,0.4,,0.125,,,,92.7495,,0.2,,5.25,0.0005,,,
221,0.3,0.15,,12.0,,,,,,,,,0.6,,0.15,,,,86.49940000000001,,0.2,,0.1,0.0006,,,
222,0.3,0.15,,12.0,,,,,,,,,0.6,,0.15,,,,86.49940000000001,,0.2,,0.1,0.0006,,,
223,0.3,0.15,,12.0,,,,,,,,,0.6,,0.15,,,,86.49940000000001,,0.2,,0.1,0.0006,,,
224,0.3,0.15,,12.0,,,,,,,,,0.6,,0.15,,,,86.49940000000001,,0.2,,0.1,0.0006,,,
225,0.5,0.5,0.15,5.0,,,,,,,,,0.4,,0.15,,,,92.6992,,0.1,,0.5,0.0008,,,
226,0.5,0.5,0.15,5.25,,,,,,,,,0.4,,0.15,,,,92.4495,,0.1,,0.5,0.0005,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,0.75,,0.6,0.075,,,,0.025,0.025,,,,,,,,,,,,,,,,,
229,,0.45,,0.2,0.05,,,,0.025,0.025,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,2.4,0.4,10.0,,82.3,,,,,2.8,,,,,2.1,,,,,,,,,
233,,,,4.25,0.7,14.0,,74.05,,,,,4.0,,,,,3.0,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,0.8,,,,27.5,,8.0,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,0.03,19.0,3.0,10.0,,,,,67.97,,,,,,,,,,,,,,
238,,,,,,,,,,7.5,,,5.0,,,,,,25.0,,10.0,,,,12.5,,
239,,0.07,0.5,,,,,,0.014,,,,,,,,,,,,,,,,0.9,,
240,,0.07,0.5,,,,,,0.014,,,,,,,,,,,,,,,,0.9,,
241,,0.08499999999999999,0.5,,,,,,0.037500000000000006,,,,,,,,,,,,,,,,0.9,,
242,0.5,0.2,0.5,,,,,0.3,,,,,,,,,,,7.75,,,,,,,,
243,0.5,0.3,0.5,,,,,1.8,,,,,,,,,,,4.75,,,,,,,,
244,1.0,2.0,,,,,,2.0,,,,,2.0,,,,,,8.0,,,,,,,,
245,1.0,2.0,,,,,,2.0,,,,,2.0,,,,,,8.0,,,,,,,,
246,1.0,1.5,,,,,,4.5,,,,,3.2,,,,,,8.0,,,,,,,,
247,1.0,1.5,,,,,,4.5,,,,,3.2,,,,,,8.0,,,,,,,,
248,1.0,1.0,,,,,,,,,,,1.15,,,,,,9.25,,,,,,,,
249,0.4,0.7,,87.4,,,,10.5,,,,,1.0,,,,,,,,,,,,,,
250,,0.7,,87.8,,,,10.5,,,,,1.0,,,,,,,,,,,,,,
251,48.0,,,0.2,,,,10.0,,,,,,,,,,,,,41.8,,,,,,
252,48.0,,,0.2,,,,10.0,,,,,,,,,,,,,41.8,,,,,,
253,1.0,1.0,,0.25,0.04,,,30.5,,,,,0.55,,0.35,,,,,,,,,,,,
254,1.0,1.0,,0.25,0.04,,,30.5,,,,,0.55,,0.35,,,,,,,,,,,,
255,1.0,0.28,,,,,,9.35,,,,,0.28,,,,,,,,0.1,,,,,2.3,
256,1.0,,,,,,,,0.060000000000000005,,,,,,,,,,,,,,,,,,
257,0.5,0.85,0.5,2.875,,,,,,,,,,,,,,,,,,,,,,,
258,0.5,0.85,0.5,2.875,,,,,,,,,,,,,,,,,,,,,,,
259,1.0,0.25,,0.25,,,,,0.015,,,,,,,,,,,,,,,,,0.1,
260,1.0,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,0.8,
261,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,12.5,
262,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,12.5,
