,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu
246,15.0,,,,550.0,,,HRC,,0.115,26.5,1.75,0.375,21.25,0.015,0.015,0.475,,275.0,0.375
247,15.0,,,,550.0,,,HRC,,0.115,26.5,1.75,0.375,21.25,0.015,0.015,0.475,,275.0,0.375
248,15.0,,,,550.0,,,HRC,,0.115,26.5,1.75,0.375,21.25,0.015,0.015,0.475,,275.0,0.375
249,15.0,,,,550.0,,,HRC,,0.115,26.5,1.75,0.375,21.25,0.015,0.015,0.475,,275.0,0.375
250,15.0,,,,550.0,,,HRC,,0.115,26.5,1.75,0.375,21.25,0.015,0.015,0.475,,275.0,0.375
251,15.0,,,,490.0,,,HRC,,0.04,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
252,15.0,,,,520.0,,,HRC,,0.04,19.0,1.75,2.5,12.5,0.015,0.015,0.475,,,0.375
253,15.0,,,,490.0,,,HRC,,0.04,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
254,15.0,,,,520.0,,,HRC,,0.06,19.0,1.75,2.5,12.5,0.015,0.015,0.475,,,0.375
255,15.0,,,,520.0,,,HRC,,0.06,19.0,1.75,2.5,12.5,0.015,0.015,0.475,,,0.375
256,15.0,,,,520.0,,,HRC,,0.06,19.0,1.75,2.5,12.5,0.015,0.015,0.475,,,0.375
257,15.0,,,,520.0,,,HRC,,0.06,19.0,1.75,2.5,12.5,0.015,0.015,0.475,,,0.375
258,15.0,,,,490.0,,,HRC,,0.015,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
259,15.0,,,,490.0,,,HRC,,0.015,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
260,15.0,,,,490.0,,,HRC,,0.015,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
261,15.0,,,,490.0,,,HRC,,0.015,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
262,15.0,,,,490.0,,,HRC,,0.015,19.0,13.0,2.5,12.5,0.015,0.015,0.475,,,0.375
263,15.0,,,,520.0,,,HRC,,0.015,19.5,1.75,3.5,14.0,0.015,0.015,0.475,,260.0,0.375
264,15.0,,,,520.0,,,HRC,,0.015,19.5,1.75,3.5,14.0,0.015,0.015,0.475,,260.0,0.375
265,15.0,,,,520.0,,,HRC,,0.015,19.5,1.75,3.5,14.0,0.015,0.015,0.475,,260.0,0.375
266,12.5,,,,550.0,,,HRC,,0.04,19.0,1.75,2.5,12.5,0.015,0.015,0.475,,,0.375
267,15.0,,,,550.0,,,HRC,,0.035,20.0,1.25,2.5,34.0,0.015,0.015,0.3,,,3.5
268,,,,,,,,HRC,,0.0125,20.0,1.75,2.5,34.0,0.0075,0.01,0.075,0.2,,3.5
269,15.0,,,,520.0,,,HRC,,0.04,20.25,1.75,0.375,10.0,0.015,0.015,0.475,0.5,760.0,0.375
270,15.0,,,,520.0,,,HRC,,0.04,20.25,1.75,0.375,10.0,0.015,0.015,0.475,0.5,760.0,0.375
271,15.0,,,,520.0,,,HRC,,0.04,20.25,1.75,0.375,10.0,0.015,0.015,0.475,0.5,760.0,0.375
272,15.0,,,,520.0,,,HRC,,0.04,20.25,1.75,0.375,10.0,0.015,0.015,0.475,0.5,760.0,0.375
273,,,,,520.0,,,HRC,,0.06,20.25,1.75,0.375,10.0,0.015,0.015,0.475,,,0.375
274,,,,,520.0,,,HRC,,0.06,20.25,1.75,0.375,10.0,0.015,0.015,0.475,,,0.375
275,15.0,,,,590.0,,,HRC,,0.0125,27.5,1.75,3.7,31.5,0.01,0.015,0.25,,,1.1
276,15.0,,,,520.0,,,HRC,,0.0125,20.5,1.75,4.7,25.0,0.01,0.015,0.25,,,1.6
277,15.0,,,,520.0,,,HRC,,0.0125,20.5,1.75,4.7,25.0,0.01,0.015,0.25,,,1.6
278,15.0,,,,520.0,,,HRC,,0.0125,20.5,1.75,4.7,25.0,0.01,0.015,0.25,,,1.6
279,7.5,,,,760.0,,,HRC,,0.03,11.75,0.3,0.55,4.5,0.015,0.015,0.25,,,0.375
280,7.5,,,,760.0,,,HRC,,0.03,11.75,0.3,0.55,4.5,0.015,0.015,0.25,,,0.375
281,7.5,,,,760.0,,,HRC,,0.03,11.75,0.3,0.55,4.5,0.015,0.015,0.25,,,0.375
282,7.5,,,,760.0,,,HRC,,0.03,11.75,0.3,0.55,4.5,0.015,0.015,0.25,,,0.375
283,10.0,,,,450.0,,,HRC,,0.05,16.25,0.3,0.375,0.3,0.15,0.015,0.25,,,0.375
284,10.0,,,,345.0,,,HRC,,,,0.5,,30.5,0.01,,0.125,,,
285,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,2.5,275.0,0.25
286,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,2.5,275.0,0.25
287,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,2.5,275.0,0.25
288,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,2.5,275.0,0.25
289,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,2.5,275.0,0.25
290,,,,,,275.0,,BHN,,0.2,1.5,0.5,,,,,0.4,,,
291,,,,,,275.0,,BHN,,0.2,1.5,0.5,,,,,0.4,,,
292,,,,,,275.0,,BHN,,0.2,1.5,0.5,,,,,0.4,,,
293,,,,,,375.0,,BHN,,0.25,2.8,0.5,0.35,,,,0.4,,,
294,,,,,,375.0,,BHN,,0.25,2.8,0.5,0.35,,,,0.4,,,
295,,,,,,375.0,,BHN,,0.25,2.8,0.5,0.35,,,,0.4,,,
296,,,,,,375.0,,BHN,,0.25,2.8,0.5,0.35,,,,0.4,,,
297,,,,,,375.0,,BHN,,0.25,2.8,0.5,0.35,,,,0.4,,,
298,,,,,,375.0,,BHN,,0.25,2.8,0.5,0.35,,,,0.4,,,
299,,,,,,55.0,,RC,0.6,0.75,7.0,1.0,0.7,,,,0.5,,,
300,,,,,,55.0,,RC,0.6,0.75,7.0,1.0,0.7,,,,0.5,,,
